Wed, 24 Jan 2018 21:02:13 INFO 
=====Config====
model_name = Shadow_Conv3d  
is_training = True      
max_epoch = 200
gpu_num = 1
lr = 0.5
num_classes = 2
batch_size = 4
image_shape = (61, 73, 61, 2)
plot_batch = 25
dropout_keep_prob = 0.8
train_data_path = tfdata/cnn_tfdata/epilepsy_cnn_train.tfrecords
train_data_length = 240
test_data_path = tfdata/cnn_tfdata/epilepsy_cnn_test.tfrecords
test_data_length = 60
logger_path = logs/Shadow_Conv3d_2018-01-24 21:02:12.log
save_model_path = saved_models/Shadow_Conv3d_2018-01-24 21:02:12/
=====Config====

Wed, 24 Jan 2018 21:02:33 INFO [Train] Epoch:0, TP:178, TN:5, FP:57, FN:0, Loss:0.761660, Accuracy:0.762500, F1:0.861985
Wed, 24 Jan 2018 21:02:33 INFO [Test] Epoch:0, TP:41, TN:1, FP:18, FN:0, Loss:1.486321, Accuracy:0.700000, F1:0.820000
Wed, 24 Jan 2018 21:02:38 INFO [Train] Epoch:1, TP:131, TN:58, FP:4, FN:47, Loss:0.424890, Accuracy:0.787500, F1:0.837061
Wed, 24 Jan 2018 21:02:39 INFO [Test] Epoch:1, TP:30, TN:12, FP:7, FN:11, Loss:0.559148, Accuracy:0.700000, F1:0.769231
Wed, 24 Jan 2018 21:02:43 INFO [Train] Epoch:2, TP:178, TN:1, FP:61, FN:0, Loss:1.288460, Accuracy:0.745833, F1:0.853717
Wed, 24 Jan 2018 21:02:44 INFO [Test] Epoch:2, TP:41, TN:0, FP:19, FN:0, Loss:2.038662, Accuracy:0.683333, F1:0.811881
Wed, 24 Jan 2018 21:02:56 INFO [Train] Epoch:3, TP:145, TN:62, FP:0, FN:33, Loss:0.360472, Accuracy:0.862500, F1:0.897833
Wed, 24 Jan 2018 21:02:57 INFO [Test] Epoch:3, TP:30, TN:13, FP:6, FN:11, Loss:0.524135, Accuracy:0.716667, F1:0.779221
Wed, 24 Jan 2018 21:03:01 INFO [Train] Epoch:4, TP:151, TN:62, FP:0, FN:27, Loss:0.313493, Accuracy:0.887500, F1:0.917933
Wed, 24 Jan 2018 21:03:02 INFO [Test] Epoch:4, TP:32, TN:13, FP:6, FN:9, Loss:0.506277, Accuracy:0.750000, F1:0.810127
Wed, 24 Jan 2018 21:03:06 INFO [Train] Epoch:5, TP:178, TN:30, FP:32, FN:0, Loss:0.213508, Accuracy:0.866667, F1:0.917526
Wed, 24 Jan 2018 21:03:07 INFO [Test] Epoch:5, TP:40, TN:2, FP:17, FN:1, Loss:0.732938, Accuracy:0.700000, F1:0.816327
Wed, 24 Jan 2018 21:03:11 INFO [Train] Epoch:6, TP:178, TN:58, FP:4, FN:0, Loss:0.124353, Accuracy:0.983333, F1:0.988889
Wed, 24 Jan 2018 21:03:12 INFO [Test] Epoch:6, TP:39, TN:7, FP:12, FN:2, Loss:0.509648, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 21:03:17 INFO [Train] Epoch:7, TP:178, TN:38, FP:24, FN:0, Loss:0.194419, Accuracy:0.900000, F1:0.936842
Wed, 24 Jan 2018 21:03:17 INFO [Test] Epoch:7, TP:41, TN:2, FP:17, FN:0, Loss:0.833209, Accuracy:0.716667, F1:0.828283
Wed, 24 Jan 2018 21:03:22 INFO [Train] Epoch:8, TP:178, TN:57, FP:5, FN:0, Loss:0.097857, Accuracy:0.979167, F1:0.986150
Wed, 24 Jan 2018 21:03:22 INFO [Test] Epoch:8, TP:39, TN:6, FP:13, FN:2, Loss:0.589830, Accuracy:0.750000, F1:0.838710
Wed, 24 Jan 2018 21:03:27 INFO [Train] Epoch:9, TP:178, TN:41, FP:21, FN:0, Loss:0.155949, Accuracy:0.912500, F1:0.944297
Wed, 24 Jan 2018 21:03:27 INFO [Test] Epoch:9, TP:41, TN:2, FP:17, FN:0, Loss:0.878392, Accuracy:0.716667, F1:0.828283
Wed, 24 Jan 2018 21:03:32 INFO [Train] Epoch:10, TP:178, TN:45, FP:17, FN:0, Loss:0.159098, Accuracy:0.929167, F1:0.954424
Wed, 24 Jan 2018 21:03:32 INFO [Test] Epoch:10, TP:41, TN:2, FP:17, FN:0, Loss:0.985646, Accuracy:0.716667, F1:0.828283
Wed, 24 Jan 2018 21:03:37 INFO [Train] Epoch:11, TP:178, TN:58, FP:4, FN:0, Loss:0.073117, Accuracy:0.983333, F1:0.988889
Wed, 24 Jan 2018 21:03:37 INFO [Test] Epoch:11, TP:40, TN:5, FP:14, FN:1, Loss:0.733969, Accuracy:0.750000, F1:0.842105
Wed, 24 Jan 2018 21:03:42 INFO [Train] Epoch:12, TP:178, TN:62, FP:0, FN:0, Loss:0.038719, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:03:42 INFO [Test] Epoch:12, TP:39, TN:7, FP:12, FN:2, Loss:0.589345, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 21:03:47 INFO [Train] Epoch:13, TP:178, TN:62, FP:0, FN:0, Loss:0.072482, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:03:48 INFO [Test] Epoch:13, TP:39, TN:11, FP:8, FN:2, Loss:0.385599, Accuracy:0.833333, F1:0.886364
Wed, 24 Jan 2018 21:03:52 INFO [Train] Epoch:14, TP:178, TN:51, FP:11, FN:0, Loss:0.093504, Accuracy:0.954167, F1:0.970027
