Wed, 24 Jan 2018 23:00:06 INFO 
=====Config====
model_name = Conv3d  
is_training = True      
max_epoch = 200
gpu_num = 1
lr = 1.5
num_classes = 2
batch_size = 4
image_shape = (61, 73, 61, 2)
plot_batch = 25
dropout_keep_prob = 0.8
train_data_path = tfdata/cnn_tfdata/epilepsy_cnn_train.tfrecords
train_data_length = 240
test_data_path = tfdata/cnn_tfdata/epilepsy_cnn_test.tfrecords
test_data_length = 60
logger_path = logs/Conv3d_2018-01-24 23:00:05.log
save_model_path = saved_models/Conv3d_2018-01-24 23:00:05/
=====Config====

Wed, 24 Jan 2018 23:00:34 INFO [Train] Epoch:0, TP:178, TN:5, FP:57, FN:0, Loss:1.870102, Accuracy:0.762500, F1:0.861985
Wed, 24 Jan 2018 23:00:35 INFO [Test] Epoch:0, TP:40, TN:0, FP:19, FN:1, Loss:2.845899, Accuracy:0.666667, F1:0.800000
Wed, 24 Jan 2018 23:00:42 INFO [Train] Epoch:1, TP:178, TN:0, FP:62, FN:0, Loss:3.186762, Accuracy:0.741667, F1:0.851675
Wed, 24 Jan 2018 23:00:42 INFO [Test] Epoch:1, TP:41, TN:0, FP:19, FN:0, Loss:4.646799, Accuracy:0.683333, F1:0.811881
Wed, 24 Jan 2018 23:00:49 INFO [Train] Epoch:2, TP:0, TN:62, FP:0, FN:178, Loss:7.463455, Accuracy:0.258333, F1:0.000000
Wed, 24 Jan 2018 23:00:50 INFO [Test] Epoch:2, TP:0, TN:19, FP:0, FN:41, Loss:6.946097, Accuracy:0.316667, F1:0.000000
Wed, 24 Jan 2018 23:00:57 INFO [Train] Epoch:3, TP:178, TN:1, FP:61, FN:0, Loss:1.556407, Accuracy:0.745833, F1:0.853717
Wed, 24 Jan 2018 23:00:57 INFO [Test] Epoch:3, TP:41, TN:0, FP:19, FN:0, Loss:2.440191, Accuracy:0.683333, F1:0.811881
Wed, 24 Jan 2018 23:01:04 INFO [Train] Epoch:4, TP:1, TN:62, FP:0, FN:177, Loss:5.200663, Accuracy:0.262500, F1:0.011173
Wed, 24 Jan 2018 23:01:05 INFO [Test] Epoch:4, TP:0, TN:19, FP:0, FN:41, Loss:4.865076, Accuracy:0.316667, F1:0.000000
Wed, 24 Jan 2018 23:01:11 INFO [Train] Epoch:5, TP:173, TN:54, FP:8, FN:5, Loss:0.163570, Accuracy:0.945833, F1:0.963788
Wed, 24 Jan 2018 23:01:12 INFO [Test] Epoch:5, TP:39, TN:12, FP:7, FN:2, Loss:0.498022, Accuracy:0.850000, F1:0.896552
Wed, 24 Jan 2018 23:01:19 INFO [Train] Epoch:6, TP:68, TN:62, FP:0, FN:110, Loss:1.187803, Accuracy:0.541667, F1:0.552846
Wed, 24 Jan 2018 23:01:20 INFO [Test] Epoch:6, TP:15, TN:19, FP:0, FN:26, Loss:1.286156, Accuracy:0.566667, F1:0.535714
Wed, 24 Jan 2018 23:01:27 INFO [Train] Epoch:7, TP:173, TN:55, FP:7, FN:5, Loss:0.127254, Accuracy:0.950000, F1:0.966480
Wed, 24 Jan 2018 23:01:27 INFO [Test] Epoch:7, TP:39, TN:10, FP:9, FN:2, Loss:0.536125, Accuracy:0.816667, F1:0.876404
Wed, 24 Jan 2018 23:01:34 INFO [Train] Epoch:8, TP:157, TN:60, FP:2, FN:21, Loss:0.207030, Accuracy:0.904167, F1:0.931751
Wed, 24 Jan 2018 23:01:35 INFO [Test] Epoch:8, TP:37, TN:13, FP:6, FN:4, Loss:0.428065, Accuracy:0.833333, F1:0.880952
Wed, 24 Jan 2018 23:01:41 INFO [Train] Epoch:9, TP:158, TN:61, FP:1, FN:20, Loss:0.207502, Accuracy:0.912500, F1:0.937685
Wed, 24 Jan 2018 23:01:42 INFO [Test] Epoch:9, TP:34, TN:13, FP:6, FN:7, Loss:0.542224, Accuracy:0.783333, F1:0.839506
Wed, 24 Jan 2018 23:01:49 INFO [Train] Epoch:10, TP:175, TN:61, FP:1, FN:3, Loss:0.073391, Accuracy:0.983333, F1:0.988701
Wed, 24 Jan 2018 23:01:50 INFO [Test] Epoch:10, TP:39, TN:12, FP:7, FN:2, Loss:0.452155, Accuracy:0.850000, F1:0.896552
Wed, 24 Jan 2018 23:01:57 INFO [Train] Epoch:11, TP:178, TN:42, FP:20, FN:0, Loss:0.186209, Accuracy:0.916667, F1:0.946809
Wed, 24 Jan 2018 23:01:57 INFO [Test] Epoch:11, TP:40, TN:4, FP:15, FN:1, Loss:1.035828, Accuracy:0.733333, F1:0.833333
Wed, 24 Jan 2018 23:02:04 INFO [Train] Epoch:12, TP:178, TN:51, FP:11, FN:0, Loss:0.086766, Accuracy:0.954167, F1:0.970027
Wed, 24 Jan 2018 23:02:05 INFO [Test] Epoch:12, TP:39, TN:6, FP:13, FN:2, Loss:0.709246, Accuracy:0.750000, F1:0.838710
Wed, 24 Jan 2018 23:02:12 INFO [Train] Epoch:13, TP:178, TN:15, FP:47, FN:0, Loss:0.503767, Accuracy:0.804167, F1:0.883375
Wed, 24 Jan 2018 23:02:12 INFO [Test] Epoch:13, TP:41, TN:1, FP:18, FN:0, Loss:1.803596, Accuracy:0.700000, F1:0.820000
Wed, 24 Jan 2018 23:02:19 INFO [Train] Epoch:14, TP:178, TN:48, FP:14, FN:0, Loss:0.141818, Accuracy:0.941667, F1:0.962162
