Tue, 23 Jan 2018 21:56:08 WARNING From /usr/local/lib/python3.6/dist-packages/tensorflow/contrib/training/python/training/training.py:412: get_or_create_global_step (from tensorflow.contrib.framework.python.ops.variables) is deprecated and will be removed in a future version.
Instructions for updating:
Please switch to tf.train.get_or_create_global_step
Tue, 23 Jan 2018 21:56:15 INFO 
=====Config====
model_name = Epilepsy_3D_CNN  
is_training = True      
max_epoch = 500
gpu_num = 1
lr = 1
num_classes = 2
batch_size = 4
image_shape = (61, 73, 61, 2)
plot_batch = 25
dropout_keep_prob = 0.5
train_data_path = tfdata/cnn_tfdata/epilepsy_cnn_train.tfrecords
train_data_length = 240
test_data_path = tfdata/cnn_tfdata/epilepsy_cnn_test.tfrecords
test_data_length = 60
logger_path = logs/Epilepsy_3D_CNN_2018-01-23 21:56:06.log
save_model_path = saved_models/epilepsy_3d_cnn_2018-01-23 21:56:06/
=====Config====

Tue, 23 Jan 2018 21:57:00 INFO [Train] Epoch:0, TP:0, TN:62, FP:0, FN:178, Loss:1.439549, Accuracy:0.258333, F1:0.000000
Tue, 23 Jan 2018 21:57:04 INFO [Test] Epoch:0, TP:0, TN:19, FP:0, FN:41, Loss:1.414775, Accuracy:0.316667, F1:0.000000
Tue, 23 Jan 2018 21:57:32 INFO [Train] Epoch:1, TP:7, TN:61, FP:1, FN:171, Loss:1.432176, Accuracy:0.283333, F1:0.075269
Tue, 23 Jan 2018 21:57:38 INFO [Test] Epoch:1, TP:3, TN:19, FP:0, FN:38, Loss:1.445819, Accuracy:0.366667, F1:0.136364
Tue, 23 Jan 2018 21:58:05 INFO [Train] Epoch:2, TP:178, TN:1, FP:61, FN:0, Loss:0.657732, Accuracy:0.745833, F1:0.853717
Tue, 23 Jan 2018 21:58:11 INFO [Test] Epoch:2, TP:41, TN:0, FP:19, FN:0, Loss:1.038585, Accuracy:0.683333, F1:0.811881
Tue, 23 Jan 2018 21:58:39 INFO [Train] Epoch:3, TP:1, TN:62, FP:0, FN:177, Loss:2.293666, Accuracy:0.262500, F1:0.011173
Tue, 23 Jan 2018 21:58:40 INFO [Test] Epoch:3, TP:0, TN:19, FP:0, FN:41, Loss:2.423647, Accuracy:0.316667, F1:0.000000
Tue, 23 Jan 2018 21:59:08 INFO [Train] Epoch:4, TP:178, TN:6, FP:56, FN:0, Loss:0.607788, Accuracy:0.766667, F1:0.864078
Tue, 23 Jan 2018 21:59:10 INFO [Test] Epoch:4, TP:41, TN:0, FP:19, FN:0, Loss:1.104054, Accuracy:0.683333, F1:0.811881
Tue, 23 Jan 2018 21:59:37 INFO [Train] Epoch:5, TP:7, TN:62, FP:0, FN:171, Loss:2.789129, Accuracy:0.287500, F1:0.075676
Tue, 23 Jan 2018 21:59:39 INFO [Test] Epoch:5, TP:0, TN:19, FP:0, FN:41, Loss:2.462662, Accuracy:0.316667, F1:0.000000
Tue, 23 Jan 2018 22:00:06 INFO [Train] Epoch:6, TP:109, TN:62, FP:0, FN:69, Loss:0.640249, Accuracy:0.712500, F1:0.759582
Tue, 23 Jan 2018 22:00:08 INFO [Test] Epoch:6, TP:22, TN:19, FP:0, FN:19, Loss:0.869354, Accuracy:0.683333, F1:0.698413
Tue, 23 Jan 2018 22:00:36 INFO [Train] Epoch:7, TP:175, TN:55, FP:7, FN:3, Loss:0.135077, Accuracy:0.958333, F1:0.972222
Tue, 23 Jan 2018 22:00:41 INFO [Test] Epoch:7, TP:39, TN:7, FP:12, FN:2, Loss:0.470709, Accuracy:0.766667, F1:0.847826
Tue, 23 Jan 2018 22:01:09 INFO [Train] Epoch:8, TP:0, TN:62, FP:0, FN:178, Loss:5.121579, Accuracy:0.258333, F1:0.000000
Tue, 23 Jan 2018 22:01:11 INFO [Test] Epoch:8, TP:0, TN:19, FP:0, FN:41, Loss:4.954235, Accuracy:0.316667, F1:0.000000
Tue, 23 Jan 2018 22:01:38 INFO [Train] Epoch:9, TP:86, TN:62, FP:0, FN:92, Loss:0.746104, Accuracy:0.616667, F1:0.651515
Tue, 23 Jan 2018 22:01:40 INFO [Test] Epoch:9, TP:13, TN:19, FP:0, FN:28, Loss:0.990144, Accuracy:0.533333, F1:0.481481
Tue, 23 Jan 2018 22:02:07 INFO [Train] Epoch:10, TP:178, TN:25, FP:37, FN:0, Loss:0.281305, Accuracy:0.845833, F1:0.905852
Tue, 23 Jan 2018 22:02:09 INFO [Test] Epoch:10, TP:41, TN:2, FP:17, FN:0, Loss:1.369272, Accuracy:0.716667, F1:0.828283
Tue, 23 Jan 2018 22:02:36 INFO [Train] Epoch:11, TP:177, TN:61, FP:1, FN:1, Loss:0.073690, Accuracy:0.991667, F1:0.994382
Tue, 23 Jan 2018 22:02:38 INFO [Test] Epoch:11, TP:38, TN:6, FP:13, FN:3, Loss:0.440638, Accuracy:0.733333, F1:0.826087
Tue, 23 Jan 2018 22:03:06 INFO [Train] Epoch:12, TP:145, TN:62, FP:0, FN:33, Loss:0.288241, Accuracy:0.862500, F1:0.897833
Tue, 23 Jan 2018 22:03:08 INFO [Test] Epoch:12, TP:25, TN:19, FP:0, FN:16, Loss:0.752590, Accuracy:0.733333, F1:0.757576
Tue, 23 Jan 2018 22:03:35 INFO [Train] Epoch:13, TP:178, TN:60, FP:2, FN:0, Loss:0.044657, Accuracy:0.991667, F1:0.994413
Tue, 23 Jan 2018 22:03:37 INFO [Test] Epoch:13, TP:39, TN:4, FP:15, FN:2, Loss:0.853258, Accuracy:0.716667, F1:0.821053
Tue, 23 Jan 2018 22:04:04 INFO [Train] Epoch:14, TP:79, TN:62, FP:0, FN:99, Loss:0.942921, Accuracy:0.587500, F1:0.614786
